Run Date,4/30/2015 11:37:11
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,padCounts[0],padCounts[1],padCounts[2],padCounts[3],padCounts[4],padCounts[5],pad_max[0],pad_max[1],pad_max[2],pad_max[3],pad_max[4],pad_max[5],pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
0,203,0,0,0,147,52,19,42024,41918,40999,42696,43866,47760,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,43,47,52,48,41,33,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
1,1188,0,0,0,148,52,19,42024,41915,40985,42691,43852,47751,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,43,50,66,53,55,42,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
2,2203,0,0,0,149,52,19,42026,41914,40981,42684,43859,47753,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,41,51,70,60,48,40,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
3,3203,0,0,0,150,52,19,42026,41924,40995,42699,43870,47750,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,41,41,56,45,37,43,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
4,4203,0,0,0,151,52,19,42025,41925,40987,42700,43859,47748,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,42,40,64,44,48,45,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
5,5203,0,0,0,152,52,19,42025,41921,40993,42691,43853,47741,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,42,44,58,53,54,52,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
6,6203,0,0,0,153,52,19,42027,41921,41006,42691,43870,47751,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,40,44,45,53,37,42,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
7,7203,0,0,0,154,52,19,42027,41925,40985,42684,43854,47739,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,40,40,66,60,53,54,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
8,8203,0,0,0,155,52,19,42028,41921,41000,42702,43870,47753,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,39,44,51,42,37,40,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
9,9203,0,0,0,156,52,19,42025,41923,40995,42695,43863,47746,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,42,42,56,49,44,47,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
10,10203,0,0,0,157,52,19,42031,41918,40993,42703,43870,47752,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,36,47,58,41,37,41,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
11,11203,0,0,0,158,52,19,42033,41925,40993,42695,43858,47749,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,34,40,58,49,49,44,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
12,12203,0,0,0,159,52,19,42034,41924,41005,42700,43879,47763,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,33,41,46,44,28,30,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
13,13203,0,0,0,160,52,19,42031,41924,40997,42695,43861,47751,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,36,41,54,49,46,42,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
14,14203,0,0,0,161,52,19,42031,41924,41003,42707,43869,47755,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,36,41,48,37,38,38,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
15,15203,0,0,0,162,52,19,42025,41922,40996,42701,43866,47753,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,42,43,55,43,41,40,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
