Run Date,8/18/2015 09:03:05
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,tempC,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
0,172,0,0,0,46,0,0,40242,42227,41374,42809,44355,48040,40256,42235,41396,42823,44368,48055,33163,42218,41373,42801,44347,48025,14,8,22,14,13,15,40256,42235,41396,42823,44368,48055,0,0,0,0,0,0,
1,1156,0,0,0,47,0,0,40239,42237,41381,42807,44353,48045,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44347,48025,17,-2,15,16,15,10,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
2,2172,0,0,0,48,0,0,40238,42231,41386,42818,44364,48050,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44347,48025,18,6,10,5,4,5,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
3,3172,0,0,0,49,0,0,40234,42230,41378,42809,44356,48041,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44347,48025,22,7,18,14,12,14,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
4,4172,0,0,0,50,0,0,40240,42231,41383,42819,44347,48047,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44347,48025,16,6,13,4,21,8,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
5,5172,0,0,0,51,0,0,40234,42226,41384,42808,44354,48044,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44347,48025,22,11,12,15,14,11,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
6,6156,0,0,0,52,0,0,40243,42227,41384,42812,44359,48043,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44347,48025,13,10,12,11,9,12,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
7,7172,0,0,0,53,0,0,40247,42225,41385,42807,44346,48045,40256,42237,41396,42823,44368,48055,33163,42218,41373,42801,44346,48025,9,12,11,16,22,10,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
