Run Date,4/30/2015 12:04:14
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,329,0,0,0,6,76,39,41986,41876,40966,42664,43834,47711,42159,42072,41150,42832,44015,47897,41044,40765,39867,41429,42522,46224,98,89,85,80,73,82,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
2,1329,0,0,0,7,76,39,41991,41871,40962,42660,43839,47718,42159,42072,41150,42832,44015,47897,41044,40765,39867,41429,42522,46224,93,94,89,84,68,75,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
3,2344,0,0,0,8,76,39,41991,41877,40963,42655,43824,47701,42159,42072,41150,42832,44015,47897,41044,40765,39867,41429,42522,46224,93,88,88,89,83,92,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
4,3329,0,0,0,9,76,39,41977,41864,40962,42646,43816,47678,42159,42072,41150,42832,44015,47897,41044,40765,39867,41429,42522,46224,107,101,89,98,91,115,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
5,4329,0,1,20,0,76,39,41965,41869,40957,42656,43789,46892,42159,42072,41150,42832,44015,47897,41044,40765,39867,41429,42522,46224,119,96,94,88,118,901,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
6,5329,0,1,20,0,76,39,41956,41865,40955,42630,43756,46513,42159,42072,41150,42832,44015,47897,41044,40765,39867,41429,42522,46224,128,100,96,114,151,1280,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
7,6344,173,3,38,0,76,39,41945,41809,40555,41478,42658,46455,42159,42072,41150,42832,44015,47897,41044,40765,39867,41429,42522,46224,139,156,496,1266,1249,1338,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
8,7329,173,3,38,0,76,39,41932,41790,40499,41472,42648,46460,42159,42072,41150,42832,44015,47897,41044,40765,39867,41429,42522,46224,152,175,552,1272,1259,1333,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
9,8329,376,6,3f,0,76,39,41042,40860,40205,41453,42644,46540,42159,42072,41150,42832,44015,47897,41042,40765,39867,41429,42522,46224,1042,1105,846,1291,1263,1253,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
10,9344,376,6,3f,0,76,39,41035,40856,40219,41470,42697,46695,42159,42072,41150,42832,44015,47897,41035,40765,39867,41429,42522,46224,1049,1109,832,1274,1210,1098,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
11,10344,376,2,3,0,77,39,41081,40847,40714,42612,43821,47711,42159,42072,41150,42832,44015,47897,41035,40765,39867,41429,42522,46224,1003,1118,337,132,86,82,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
12,11329,376,4,1b,0,78,39,41066,40818,40454,41486,42599,47441,42159,42072,41150,42832,44015,47897,41035,40765,39867,41429,42522,46224,1018,1147,597,1258,1308,352,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
13,12329,376,6,3f,0,78,39,41052,40805,40287,41478,42714,46984,42159,42072,41150,42832,44015,47897,41035,40765,39867,41429,42522,46224,1032,1160,764,1266,1193,809,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
14,13344,376,6,3f,0,78,39,41033,40778,40116,41456,42598,46493,42159,42072,41150,42832,44015,47897,41033,40765,39867,41429,42522,46224,1051,1187,935,1288,1309,1300,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
15,14329,376,3,23,0,79,39,41481,41503,40732,42287,43536,46339,42159,42072,41150,42832,44015,47897,41033,40765,39867,41429,42522,46224,603,462,319,457,371,1454,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
16,15329,0,1,20,0,79,39,41934,41857,40945,42627,43670,46294,42159,42072,41150,42832,44015,47897,41033,40765,39867,41429,42522,46224,150,108,106,117,237,1499,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
17,16344,218,4,3c,0,79,39,41798,41663,40296,41467,42747,46279,42159,42072,41150,42832,44015,47897,41033,40765,39867,41429,42522,46224,286,302,755,1277,1160,1514,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
18,17344,218,4,3c,0,79,39,41751,41620,40216,41470,42727,46276,42159,42072,41150,42832,44015,47897,41033,40765,39867,41429,42522,46224,333,345,835,1274,1180,1517,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
19,18329,376,6,3f,0,79,39,41016,40837,40017,41443,42761,46300,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,1068,1128,1034,1301,1146,1493,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
20,19329,376,6,3f,0,79,39,41016,40831,40025,41452,42771,46298,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,1068,1134,1026,1292,1136,1495,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
21,20344,0,0,0,1,79,39,41961,41862,40961,42643,43818,47711,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,123,103,90,101,89,82,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
22,21344,335,4,3a,0,80,39,41894,41505,40537,41466,42702,46806,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,190,460,514,1278,1205,987,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
23,22329,376,6,3f,0,80,39,41038,40792,40110,41452,42617,46588,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,1046,1173,941,1292,1290,1205,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
24,23344,0,0,0,1,80,39,41945,41860,40945,42618,43798,47680,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,139,105,106,126,109,113,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
25,24344,376,6,3f,0,80,39,41045,40865,40106,41471,42773,46966,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,1039,1100,945,1273,1134,827,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
26,25329,0,0,0,1,80,39,41940,41844,40931,42620,43794,47653,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,144,121,120,124,113,140,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
27,26329,376,6,3f,0,80,39,41068,40823,40134,41472,42717,47020,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,1016,1142,917,1272,1190,773,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
28,27344,0,0,0,1,80,39,41927,41842,40924,42611,43783,47602,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,157,123,127,133,124,191,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
29,28344,218,4,3c,0,80,39,41867,41732,40294,41474,42752,46405,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,217,233,757,1270,1155,1388,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
30,29329,376,6,3f,0,80,39,41018,40854,40035,41460,42824,46512,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,1066,1111,1016,1284,1083,1281,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
31,30329,0,0,0,1,80,39,41955,41850,40962,42641,43808,47705,42159,42072,41150,42832,44015,47897,41016,40765,39867,41429,42522,46224,129,115,89,103,99,88,42084,41965,41051,42744,43907,47793,41992,41884,40982,42664,43839,47722,
