Run Date,8/18/2015 09:03:15
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,tempC,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
253,345250,335,5,3e,0,10,0,6215,11712,16956,26307,27371,20578,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27371,20577,-31495,30551,24440,16516,16997,27477,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
254,346265,335,5,3e,0,10,0,6217,11711,16951,26300,27374,20579,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27371,20577,-31497,30552,24445,16523,16994,27476,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
255,347250,335,5,3e,0,10,0,6215,11709,16945,26297,27368,20579,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27368,20577,-31495,30554,24451,16526,17000,27476,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
256,348250,335,5,3e,0,10,0,6214,11706,16947,26297,27365,20574,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27365,20574,-31494,30557,24449,16526,17003,27481,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
257,349265,335,5,3e,0,10,0,6214,11707,16946,26297,27371,20576,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27365,20574,-31494,30556,24450,16526,16997,27479,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
258,350250,335,5,3e,0,10,0,6214,11706,16947,26298,27354,20577,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27354,20574,-31494,30557,24449,16525,17014,27478,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
259,351250,335,5,3e,0,10,0,6213,11703,16939,26286,27350,20568,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27350,20568,-31493,30560,24457,16537,17018,27487,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
260,352265,335,5,3e,0,10,0,6213,11701,16944,26287,27353,20569,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27350,20568,-31493,30562,24452,16536,17015,27486,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
261,353250,335,5,3e,0,10,0,6212,11700,16938,26280,27348,20562,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27348,20562,-31492,30563,24458,16543,17020,27493,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
262,354265,335,5,3e,0,10,0,6213,11697,16936,26282,27352,20561,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27348,20561,-31493,30566,24460,16541,17016,27494,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
263,355250,335,5,3e,0,10,0,6212,11698,16936,26281,27345,20564,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27345,20561,-31492,30565,24460,16542,17023,27491,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
264,356250,335,5,3e,0,10,0,6210,11695,16933,26268,27334,20558,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27334,20558,-31490,30568,24463,16555,17034,27497,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
265,357265,335,5,3e,0,10,0,6210,11694,16935,26269,27331,20554,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27331,20554,-31490,30569,24461,16554,17037,27501,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
266,358250,335,5,3e,0,10,0,6208,11693,16932,26266,27333,20553,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27331,20553,-31488,30570,24464,16557,17035,27502,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
267,359265,335,5,3e,0,10,0,6209,11690,16930,26259,27333,20556,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27331,20553,-31489,30573,24466,16564,17035,27499,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
268,360265,335,5,3e,0,10,0,6213,11687,16929,26257,27328,20546,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27328,20546,-31493,30576,24467,16566,17040,27509,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
269,361250,335,5,3e,0,10,0,6207,11688,16926,26258,27328,20543,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27328,20543,-31487,30575,24470,16565,17040,27512,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
270,362265,335,5,3e,0,10,0,6206,11687,16926,26252,27324,20544,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27324,20543,-31486,30576,24470,16571,17044,27511,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
271,363250,335,5,3e,0,10,0,6207,11685,16923,26249,27321,20543,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27321,20543,-31487,30578,24473,16574,17047,27512,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
272,364250,335,5,3e,0,10,0,6206,11682,16918,26241,27312,20538,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27312,20538,-31486,30581,24478,16582,17056,27517,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
273,365265,335,5,3e,0,10,0,6206,11682,16918,26244,27326,20542,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27312,20538,-31486,30581,24478,16579,17042,27513,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
274,366250,335,5,3e,0,10,0,6205,11680,16914,26234,27304,20539,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27304,20538,-31485,30583,24482,16589,17064,27516,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
275,367265,335,5,3e,0,10,0,6204,11677,16911,26235,27313,20543,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27304,20538,-31484,30586,24485,16588,17055,27512,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
276,368265,335,5,3e,0,10,0,6206,11680,16908,26230,27303,20540,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27303,20538,-31486,30583,24488,16593,17065,27515,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
277,369250,335,5,3e,0,10,0,6204,11679,16911,26234,27305,20540,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27303,20538,-31484,30584,24485,16589,17063,27515,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
278,370265,335,5,3e,0,10,0,6204,11678,16910,26230,27300,20540,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27300,20538,-31484,30585,24486,16593,17068,27515,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
279,371250,335,5,3e,0,10,0,6203,11676,16903,26224,27294,20534,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27294,20534,-31483,30587,24493,16599,17074,27521,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
280,372265,335,5,3e,0,10,0,6201,11672,16900,26225,27299,20537,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27294,20534,-31481,30591,24496,16598,17069,27518,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
281,373265,335,5,3e,0,10,0,6202,11672,16900,26221,27294,20537,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27294,20534,-31482,30591,24496,16602,17074,27518,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
282,374250,335,5,3e,0,10,0,6203,11670,16898,26218,27295,20537,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27294,20534,-31483,30593,24498,16605,17073,27518,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
283,375265,335,5,3e,0,10,0,6201,11668,16896,26215,27289,20537,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27289,20534,-31481,30595,24500,16608,17079,27518,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
284,376265,335,5,3e,0,10,0,6200,11669,16896,26211,27285,20533,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27285,20533,-31480,30594,24500,16612,17083,27522,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
285,377250,335,5,3e,0,10,0,6201,11668,16897,26213,27291,20534,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27285,20533,-31481,30595,24499,16610,17077,27521,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
286,378265,335,5,3e,0,10,0,6200,11665,16891,26203,27278,20520,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27278,20520,-31480,30598,24505,16620,17090,27535,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
287,379265,335,5,3e,0,10,0,6199,11666,16892,26200,27278,20508,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27278,20508,-31479,30597,24504,16623,17090,27547,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
288,380265,335,5,3e,0,10,0,6199,11662,16885,26195,27277,20504,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27277,20504,-31479,30601,24511,16628,17091,27551,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
289,381265,335,5,3e,0,10,0,6198,11663,16885,26195,27272,20502,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27272,20502,-31478,30600,24511,16628,17096,27553,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
290,382250,335,5,3e,0,10,0,6198,11659,16884,26186,27269,20496,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27269,20496,-31478,30604,24512,16637,17099,27559,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
291,383265,335,5,3e,0,10,0,6197,11660,16883,26193,27274,20512,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27269,20496,-31477,30603,24513,16630,17094,27543,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
292,384265,335,5,3e,0,10,0,6196,11657,16886,26188,27269,20507,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27269,20496,-31476,30606,24510,16635,17099,27548,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
293,385250,335,5,3e,0,10,0,6197,11657,16876,26181,27268,20504,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27268,20496,-31477,30606,24520,16642,17100,27551,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
294,386265,335,5,3e,0,10,0,6195,11653,16875,26182,27270,20503,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27268,20496,-31475,30610,24521,16641,17098,27552,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
295,387265,335,5,3e,0,10,0,6195,11654,16882,26179,27265,20505,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27265,20496,-31475,30609,24514,16644,17103,27550,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
296,388265,335,5,3e,0,10,0,6195,11651,16879,26176,27262,20509,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27262,20496,-31475,30612,24517,16647,17106,27546,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
297,389265,335,5,3e,0,10,0,6194,11651,16877,26167,27257,20497,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27257,20496,-31474,30612,24519,16656,17111,27558,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
298,390250,335,5,3e,0,10,0,6193,11650,16876,26173,27267,20502,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27257,20496,-31473,30613,24520,16650,17101,27553,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
299,391265,335,5,3e,0,10,0,6194,11647,16869,26162,27256,20499,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27256,20496,-31474,30616,24527,16661,17112,27556,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
300,392265,335,5,3e,0,10,0,6193,11645,16866,26163,27257,20495,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27256,20495,-31473,30618,24530,16660,17111,27560,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
301,393265,335,5,3e,0,10,0,6192,11643,16863,26156,27250,20491,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27250,20491,-31472,30620,24533,16667,17118,27564,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
302,394265,335,5,3e,0,10,0,6192,11643,16861,26154,27249,20498,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27249,20491,-31472,30620,24535,16669,17119,27557,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
303,395265,335,5,3e,0,10,0,6193,11643,16864,26157,27264,20503,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27249,20491,-31473,30620,24532,16666,17104,27552,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
304,396265,335,5,3e,0,10,0,6192,11640,16860,26154,27247,20499,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27247,20491,-31472,30623,24536,16669,17121,27556,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
305,397265,335,5,3e,0,10,0,6192,11638,16858,26148,27242,20497,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27242,20491,-31472,30625,24538,16675,17126,27558,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
306,398250,335,5,3e,0,10,0,6191,11637,16860,26153,27242,20495,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27242,20491,-31471,30626,24536,16670,17126,27560,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
307,399265,335,5,3e,0,10,0,6192,11636,16852,26138,27228,20489,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27228,20489,-31472,30627,24544,16685,17140,27566,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
308,400265,335,5,3e,0,10,0,6192,11636,16852,26140,27234,20495,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27228,20489,-31472,30627,24544,16683,17134,27560,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
309,401265,335,5,3e,0,10,0,6191,11636,16856,26146,27241,20497,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27228,20489,-31471,30627,24540,16677,17127,27558,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
310,402265,335,5,3e,0,10,0,6191,11630,16847,26134,27224,20486,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27224,20486,-31471,30633,24549,16689,17144,27569,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
311,403265,335,5,3e,0,10,0,6191,11631,16844,26135,27227,20483,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27224,20483,-31471,30632,24552,16688,17141,27572,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
312,404265,335,5,3e,0,10,0,6190,11631,16845,26134,27224,20485,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27224,20483,-31470,30632,24551,16689,17144,27570,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
313,405265,335,5,3e,0,10,0,6191,11631,16847,26133,27224,20481,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27224,20481,-31471,30632,24549,16690,17144,27574,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
314,406265,335,5,3e,0,10,0,6191,11631,16848,26132,27226,20481,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27224,20481,-31471,30632,24548,16691,17142,27574,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
315,407265,335,5,3e,0,10,0,6188,11629,16840,26122,27218,20474,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27218,20474,-31468,30634,24556,16701,17150,27581,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
316,408265,335,5,3e,0,10,0,6187,11629,16840,26115,27211,20472,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27211,20472,-31467,30634,24556,16708,17157,27583,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
317,409265,335,5,3e,0,10,0,6187,11629,16836,26117,27213,20459,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27211,20459,-31467,30634,24560,16706,17155,27596,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
318,410265,335,5,3e,0,10,0,6186,11627,16836,26117,27214,20459,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27211,20459,-31466,30636,24560,16706,17154,27596,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
319,411281,335,5,3e,0,10,0,6187,11628,16838,26108,27207,20461,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27207,20459,-31467,30635,24558,16715,17161,27594,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
320,412265,335,5,3e,0,10,0,6187,11628,16835,26114,27217,20465,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27207,20459,-31467,30635,24561,16709,17151,27590,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
321,413265,335,5,3e,0,10,0,6186,11625,16830,26102,27203,20456,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27203,20456,-31466,30638,24566,16721,17165,27599,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
322,414265,335,5,3e,0,10,0,6184,11624,16828,26096,27200,20449,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27200,20449,-31464,30639,24568,16727,17168,27606,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
323,415265,335,5,3e,0,10,0,6183,11623,16827,26084,27202,20451,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27200,20449,-31463,30640,24569,16739,17166,27604,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
324,416265,335,5,3e,0,10,0,6183,11623,16827,26077,27194,20443,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27194,20443,-31463,30640,24569,16746,17174,27612,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
325,417265,335,5,3e,0,10,0,6184,11621,16826,26082,27198,20447,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27194,20443,-31464,30642,24570,16741,17170,27608,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
326,418265,335,5,3e,0,10,0,6184,11622,16828,26079,27196,20445,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27194,20443,-31464,30641,24568,16744,17172,27610,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
327,419281,335,5,3e,0,10,0,6183,11617,16820,26077,27195,20448,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27194,20443,-31463,30646,24576,16746,17173,27607,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
328,420265,335,5,3e,0,10,0,6188,11616,16820,26074,27196,20446,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27194,20443,-31468,30647,24576,16749,17172,27609,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
329,421265,335,5,3e,0,10,0,6181,11614,16818,26068,27184,20443,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27184,20443,-31461,30649,24578,16755,17184,27612,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
330,422265,335,5,3e,0,10,0,6179,11611,16818,26067,27175,20437,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27175,20437,-31459,30652,24578,16756,17193,27618,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
331,423265,335,5,3e,0,10,0,6180,11609,16811,26059,27175,20430,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27175,20430,-31460,30654,24585,16764,17193,27625,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
332,424265,335,5,3e,0,10,0,6178,11607,16812,26064,27179,20438,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27175,20430,-31458,30656,24584,16759,17189,27617,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
333,425265,335,5,3e,0,10,0,6178,11609,16813,26061,27174,20432,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27174,20430,-31458,30654,24583,16762,17194,27623,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
334,426265,335,5,3e,0,10,0,6178,11608,16810,26056,27174,20431,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27174,20430,-31458,30655,24586,16767,17194,27624,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
335,427281,335,5,3e,0,10,0,6178,11606,16805,26053,27165,20423,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27165,20423,-31458,30657,24591,16770,17203,27632,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
336,428265,335,5,3e,0,10,0,6177,11605,16801,26050,27168,20428,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27165,20423,-31457,30658,24595,16773,17200,27627,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
337,429265,335,5,3e,0,10,0,6176,11605,16802,26054,27166,20428,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27165,20423,-31456,30658,24594,16769,17202,27627,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
338,430281,335,5,3e,0,10,0,6177,11603,16796,26046,27166,20426,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27165,20423,-31457,30660,24600,16777,17202,27629,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
339,431265,335,5,3e,0,10,0,6176,11598,16794,26047,27173,20428,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27165,20423,-31456,30665,24602,16776,17195,27627,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
340,432281,335,5,3e,0,10,0,6176,11600,16799,26050,27170,20432,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27165,20423,-31456,30663,24597,16773,17198,27623,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
341,433265,335,5,3e,0,10,0,6176,11601,16795,26041,27159,20423,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27159,20423,-31456,30662,24601,16782,17209,27632,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
342,434265,335,5,3e,0,10,0,6175,11597,16791,26040,27165,20424,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27159,20423,-31455,30666,24605,16783,17203,27631,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
343,435281,335,5,3e,0,10,0,6174,11595,16791,26035,27156,20422,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27156,20422,-31454,30668,24605,16788,17212,27633,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
344,436265,335,5,3e,0,10,0,6175,11594,16789,26037,27152,20424,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27152,20422,-31455,30669,24607,16786,17216,27631,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
345,437265,335,5,3e,0,10,0,6175,11596,16785,26035,27152,20419,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27152,20419,-31455,30667,24611,16788,17216,27636,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
346,438281,335,5,3e,0,10,0,6174,11593,16785,26033,27150,20419,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27150,20419,-31454,30670,24611,16790,17218,27636,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
347,439265,335,5,3e,0,10,0,6174,11594,16790,26032,27156,20434,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27150,20419,-31454,30669,24606,16791,17212,27621,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
348,440281,335,5,3e,0,10,0,6176,11592,16780,26026,27146,20424,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27146,20419,-31456,30671,24616,16797,17222,27631,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
349,441265,335,5,3e,0,10,0,6173,11592,16786,26029,27148,20423,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27146,20419,-31453,30671,24610,16794,17220,27632,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
350,442265,335,5,3e,0,10,0,6175,11589,16783,26030,27148,20430,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27146,20419,-31455,30674,24613,16793,17220,27625,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
351,443281,335,5,3e,0,10,0,6173,11588,16779,26020,27137,20421,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27137,20419,-31453,30675,24617,16803,17231,27634,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
352,444265,335,5,3e,0,10,0,6172,11586,16777,26028,27142,20422,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27137,20419,-31452,30677,24619,16795,17226,27633,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
353,445281,335,5,3e,0,10,0,6173,11588,16781,26023,27141,20417,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27137,20417,-31453,30675,24615,16800,17227,27638,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
354,446281,335,5,3e,0,10,0,6173,11587,16775,26016,27129,20407,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27129,20407,-31453,30676,24621,16807,17239,27648,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
355,447265,335,5,3e,0,10,0,6173,11585,16772,26014,27124,20410,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27124,20407,-31453,30678,24624,16809,17244,27645,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
356,448281,335,5,3e,0,10,0,6171,11584,16773,26019,27135,20415,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27124,20407,-31451,30679,24623,16804,17233,27640,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
357,449265,335,5,3e,0,10,0,6172,11583,16768,26008,27126,20406,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27124,20406,-31452,30680,24628,16815,17242,27649,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
358,450265,335,5,3e,0,10,0,6170,11578,16763,26004,27127,20410,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27124,20406,-31450,30685,24633,16819,17241,27645,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
359,451281,335,5,3e,0,10,0,6170,11579,16764,26003,27128,20415,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27124,20406,-31450,30684,24632,16820,17240,27640,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
360,452265,335,5,3e,0,10,0,6171,11581,16766,26001,27122,20405,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27122,20405,-31451,30682,24630,16822,17246,27650,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
361,453281,335,5,3e,0,10,0,6172,11580,16767,26000,27123,20407,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27122,20405,-31452,30683,24629,16823,17245,27648,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
362,454281,335,5,3e,0,10,0,6170,11577,16762,25990,27111,20397,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27111,20397,-31450,30686,24634,16833,17257,27658,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
363,455265,335,5,3e,0,10,0,6168,11576,16760,25988,27110,20398,40256,42263,41396,42823,44368,48055,6144,11287,14256,20520,27110,20397,-31448,30687,24636,16835,17258,27657,40256,42263,41396,42823,44368,48055,0,0,0,0,0,0,
