Run Date,8/18/2015 09:03:15
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,tempC,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
25,52218,0,0,0,79,4,0,40222,42211,41377,42793,44328,48024,40256,42237,41396,42823,44368,48055,33163,41804,41228,42517,44247,47882,34,26,19,30,40,31,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
26,53203,0,0,0,80,4,0,40224,42211,41373,42797,44336,48040,40256,42237,41396,42823,44368,48055,33163,41804,41228,42517,44247,47882,32,26,23,26,32,15,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
27,54203,0,0,0,81,4,0,40233,42214,41382,42800,44328,48021,40256,42237,41396,42823,44368,48055,33163,41804,41228,42517,44247,47882,23,23,14,23,40,34,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
28,55218,0,0,0,82,4,0,40235,42209,41374,42796,44334,48028,40256,42237,41396,42823,44368,48055,33163,41804,41228,42517,44247,47882,21,28,22,27,34,27,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
29,56203,0,0,0,83,4,0,40233,42212,41380,42806,44342,48037,40256,42237,41396,42823,44368,48055,33163,41804,41228,42517,44247,47882,23,25,16,17,26,18,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
30,57218,0,0,0,84,4,0,40232,42216,41375,42798,44334,48033,40256,42237,41396,42823,44368,48055,33163,41804,41228,42517,44247,47882,24,21,21,25,34,22,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
31,58218,0,0,0,85,4,0,40192,42180,41350,42774,44311,48010,40256,42237,41396,42823,44368,48055,33163,41804,41228,42517,44247,47882,64,57,46,49,57,45,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
32,59203,0,0,0,86,4,0,40153,42166,41328,42766,44281,47987,40256,42237,41396,42823,44368,48055,33163,41804,41228,42517,44247,47882,103,71,68,57,87,68,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
33,60218,0,0,0,87,4,0,40182,42156,41312,42755,44258,47981,40256,42237,41396,42823,44368,48055,33163,41804,41228,42517,44247,47882,74,81,84,68,110,74,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
34,61203,0,0,0,88,4,0,40121,42157,41293,42750,44253,47990,40256,42237,41396,42823,44368,48055,33163,41804,41228,42517,44247,47882,135,80,103,73,115,65,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
35,62218,0,0,0,89,4,0,40017,42073,41221,42701,44188,47943,40256,42237,41396,42823,44368,48055,33163,41804,41221,42517,44188,47882,239,164,175,122,180,112,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
36,63218,0,0,0,90,4,0,39953,41958,41207,42643,44193,47905,40256,42237,41396,42823,44368,48055,33163,41804,41207,42517,44188,47882,303,279,189,180,175,150,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
37,64203,0,1,2,91,5,0,39886,41797,41178,42518,44191,47830,40256,42237,41396,42823,44368,48055,33163,41797,41178,42517,44188,47830,370,440,218,305,177,225,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
38,65218,0,1,2,92,6,0,39875,41783,41171,42517,44187,47822,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,381,454,225,306,181,233,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
39,66218,0,0,0,93,6,0,40194,42203,41347,42772,44313,48018,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,62,34,49,51,55,37,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
40,67203,0,0,0,94,6,0,39966,42099,41349,42762,44342,48006,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,290,138,47,61,26,49,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
41,68218,0,0,0,95,6,0,39809,41981,41336,42758,44353,48009,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,447,256,60,65,15,46,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
