Run Date,4/30/2015 12:16:06
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,657,0,0,0,217,115,56,41993,41878,40960,42664,43834,47714,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,91,87,91,80,73,79,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
2,1657,0,0,0,218,115,56,41992,41877,40959,42643,43815,47689,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,92,88,92,101,92,104,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
3,2657,0,0,0,219,115,56,41991,41876,40969,42657,43831,47708,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,93,89,82,87,76,85,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
4,3657,0,0,0,220,115,56,41992,41883,40961,42650,43825,47694,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,92,82,90,94,82,99,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
5,4657,0,0,0,221,115,56,41997,41874,40958,42652,43820,47698,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,87,91,93,92,87,95,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
6,5657,0,0,0,222,115,56,42003,41878,40973,42655,43834,47703,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,81,87,78,89,73,90,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
7,6657,0,0,0,223,115,56,41995,41866,40960,42652,43833,47706,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,89,99,91,92,74,87,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
8,7657,0,0,0,224,115,56,41994,41873,40969,42651,43832,47702,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,90,92,82,93,75,91,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
9,8657,0,0,0,225,115,56,41996,41876,40965,42649,43829,47697,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,88,89,86,95,78,96,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
10,9657,0,0,0,226,115,56,41998,41877,40972,42650,43835,47713,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,86,88,79,94,72,80,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
11,10657,0,0,0,227,115,56,41997,41879,40967,42652,43827,47711,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,87,86,84,92,80,82,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
12,11657,0,0,0,228,115,56,41993,41878,40968,42664,43830,47703,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,91,87,83,80,77,90,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
13,12672,0,0,0,229,115,56,41999,41878,40961,42648,43824,47705,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,85,87,90,96,83,88,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
14,13657,0,0,0,230,115,56,42000,41882,40959,42655,43826,47713,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,84,83,92,89,81,80,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
15,14657,0,0,0,231,115,56,42000,41879,40968,42654,43832,47705,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,84,86,83,90,75,88,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
16,15657,0,0,0,232,115,56,41996,41871,40964,42646,43826,47709,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,88,94,87,98,81,84,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
17,16657,0,0,0,233,115,56,41999,41882,40966,42660,43829,47708,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,85,83,85,84,78,85,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
18,17657,0,0,0,234,115,56,41881,41847,40952,42650,43827,47702,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,203,118,99,94,80,91,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
19,18657,376,1,1,0,116,56,41266,41646,40925,42654,43831,47710,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,818,319,126,90,76,83,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
20,19672,376,1,1,0,117,56,41240,41590,40928,42650,43828,47702,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,844,375,123,94,79,91,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
21,20657,0,0,0,1,117,56,41991,41869,40961,42649,43822,47697,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,93,96,90,95,85,96,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
22,21657,0,0,0,2,117,56,41693,41738,40865,42489,43579,47553,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42505,46183,391,227,186,255,328,240,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
