Run Date,5/1/2015 18:11:49
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,6782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
2,7782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
3,8782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
4,9782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
5,10782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
6,11782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
7,12782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
8,13782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
9,14782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
10,15782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
11,16782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
12,17782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
13,18782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
14,19782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
15,20782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
16,21782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
17,22797,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
18,23782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
19,24797,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
20,25782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
21,26797,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
22,27782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
23,28797,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
24,29782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
25,30797,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
26,31782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
27,32782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
28,33782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
29,34782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
30,35782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
31,36782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
32,37782,0,0,0,301,0,0,41220,40965,40812,42130,45530,48252,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,85,77,79,73,65,56,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
