Run Date,5/2/2015 17:59:38
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,19219,21862,2,c,0,81,0,41822,41726,40774,42453,43589,47507,41897,41750,40795,42488,43629,47543,41732,41649,40707,42387,43505,47409,75,24,21,35,40,36,41897,41750,40795,42488,43629,47543,0,0,0,0,0,0,
2,20234,21862,2,c,0,82,0,41831,41732,40793,42474,43612,47524,41897,41750,40795,42488,43629,47543,41732,41649,40707,42387,43505,47409,66,18,2,14,17,19,41897,41750,40795,42488,43629,47543,0,0,0,0,0,0,
3,21219,21862,2,c,0,83,0,41836,41741,40791,42464,43616,47521,41897,41750,40795,42488,43629,47543,41732,41649,40707,42387,43505,47409,61,9,4,24,13,22,41897,41750,40795,42488,43629,47543,0,0,0,0,0,0,
4,22219,21862,2,c,0,84,0,41830,41733,40778,42469,43609,47527,41897,41750,40795,42488,43629,47543,41732,41649,40707,42387,43505,47409,67,17,17,19,20,16,41897,41750,40795,42488,43629,47543,0,0,0,0,0,0,
5,23234,21862,2,c,0,85,0,41831,41737,40787,42477,43610,47515,41897,41750,40795,42488,43629,47543,41732,41649,40707,42387,43505,47409,66,13,8,11,19,28,41897,41750,40795,42488,43629,47543,0,0,0,0,0,0,
6,24234,21862,2,c,0,86,0,41833,41739,40782,42462,43596,47505,41897,41750,40795,42488,43629,47543,41732,41649,40707,42387,43505,47409,64,11,13,26,33,38,41897,41750,40795,42488,43629,47543,0,0,0,0,0,0,
7,25219,21862,2,c,0,87,0,41836,41737,40789,42471,43607,47518,41897,41750,40795,42488,43629,47543,41732,41649,40707,42387,43505,47409,61,13,6,17,22,25,41897,41750,40795,42488,43629,47543,0,0,0,0,0,0,
8,26219,30600,1,8,0,88,0,41836,41740,40797,42477,43611,47524,41897,41750,40797,42488,43629,47543,41732,41649,40707,42387,43505,47409,61,10,-2,11,18,19,41897,41750,40797,42488,43629,47543,0,0,0,0,0,0,
9,27234,21862,2,c,0,89,0,41838,41734,40792,42465,43611,47529,41897,41750,40797,42488,43629,47543,41732,41649,40707,42387,43505,47409,59,16,5,23,18,14,41897,41750,40797,42488,43629,47543,0,0,0,0,0,0,
10,28219,21862,2,c,0,90,0,41837,41734,40784,42480,43613,47520,41897,41750,40797,42488,43629,47543,41732,41649,40707,42387,43505,47409,60,16,13,8,16,23,41897,41750,40797,42488,43629,47543,0,0,0,0,0,0,
11,29219,21862,2,c,0,91,0,41837,41732,40781,42471,43609,47524,41897,41750,40797,42488,43629,47543,41732,41649,40707,42387,43505,47409,60,18,16,17,20,19,41897,41750,40797,42488,43629,47543,0,0,0,0,0,0,
12,30234,21862,2,c,0,92,0,41838,41735,40780,42459,43601,47518,41897,41750,40797,42488,43629,47543,41732,41649,40707,42387,43505,47409,59,15,17,29,28,25,41897,41750,40797,42488,43629,47543,0,0,0,0,0,0,
13,31234,21862,2,c,0,93,0,41831,41741,40796,42472,43608,47518,41897,41750,40797,42488,43629,47543,41732,41649,40707,42387,43505,47409,66,9,1,16,21,25,41897,41750,40797,42488,43629,47543,0,0,0,0,0,0,
14,32219,21862,2,c,0,94,0,41833,41735,40779,42468,43613,47521,41897,41750,40797,42488,43629,47543,41732,41649,40707,42387,43505,47409,64,15,18,20,16,22,41897,41750,40797,42488,43629,47543,0,0,0,0,0,0,
15,33219,21862,2,c,0,95,0,41834,41740,40794,42472,43608,47514,41897,41750,40797,42488,43629,47543,41732,41649,40707,42387,43505,47409,63,10,3,16,21,29,41897,41750,40797,42488,43629,47543,0,0,0,0,0,0,
