Run Date,4/30/2015 11:36:55
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,padCounts[0],padCounts[1],padCounts[2],padCounts[3],padCounts[4],padCounts[5],pad_max[0],pad_max[1],pad_max[2],pad_max[3],pad_max[4],pad_max[5],pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,343,0,0,0,131,52,19,42027,41922,40990,42692,43865,47754,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,40,43,61,52,42,39,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
2,1343,0,0,0,132,52,19,42016,41922,40996,42691,43862,47755,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,51,43,55,53,45,38,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
3,2343,0,0,0,133,52,19,42029,41912,40984,42697,43858,47749,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,38,53,67,47,49,44,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
4,3328,0,0,0,134,52,19,42025,41915,40986,42693,43859,47743,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,42,50,65,51,48,50,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
5,4343,0,0,0,135,52,19,42025,41917,40998,42715,43872,47755,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,42,48,53,29,35,38,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
