Run Date,5/1/2015 17:55:12
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
25,46218,0,0,0,301,0,0,41242,40980,40833,42130,45541,48253,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,63,62,58,73,54,55,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
26,47203,0,0,0,301,0,0,41242,40980,40833,42130,45541,48253,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,63,62,58,73,54,55,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
27,48218,0,0,0,301,0,0,41242,40980,40833,42130,45541,48253,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,63,62,58,73,54,55,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
28,138218,0,0,0,301,0,0,41246,40973,40820,42123,45537,48276,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,59,69,71,80,58,32,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
29,139218,0,0,0,301,0,0,41246,40973,40820,42123,45537,48276,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,59,69,71,80,58,32,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
30,140218,0,0,0,301,0,0,41246,40973,40820,42123,45537,48276,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,59,69,71,80,58,32,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
31,141218,0,0,0,301,0,0,41246,40973,40820,42123,45537,48276,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,59,69,71,80,58,32,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
32,142234,0,0,0,301,0,0,41246,40973,40820,42123,45537,48276,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,59,69,71,80,58,32,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
33,143218,0,0,0,301,0,0,41246,40973,40820,42123,45537,48276,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,59,69,71,80,58,32,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
34,144234,0,0,0,301,0,0,41246,40973,40820,42123,45537,48276,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,59,69,71,80,58,32,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
35,145312,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
36,146234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
37,147218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
38,148234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
39,149218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
40,150234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
41,151218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
42,152234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
43,153218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
44,154234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
45,155218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
46,156234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
47,157218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
48,158234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
49,159218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
50,160234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
51,161234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
52,162218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
53,163234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
54,164218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
55,165234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
56,166218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
57,167234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
58,168218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
59,169234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
60,170218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
61,171234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
62,172218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
63,173234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
64,174218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
65,175234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
66,176218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
67,177234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
68,178234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
69,179234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
70,180234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
71,181234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
72,182234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
73,183234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
74,184234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
75,185234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
76,186234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
77,187234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
78,188234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
79,189234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
80,190234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
81,191218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
82,192234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
83,193218,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
84,194234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
85,195234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
86,196234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
87,197234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
88,198234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
89,199234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
90,200234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
91,201234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
92,202234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
93,203234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
94,204234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
95,205234,0,0,0,301,0,0,41249,40974,40820,42118,45530,48256,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,56,68,71,85,65,52,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
96,206328,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
97,207234,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
98,208234,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
99,209234,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
100,210234,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
101,211234,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
102,212250,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
103,213234,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
104,214250,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
105,215234,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
106,216250,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
107,217234,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
108,218250,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
109,219234,0,0,0,301,0,0,41230,40958,40817,42111,45539,48263,41305,41042,40891,42203,45595,48308,41180,40885,40762,42069,45440,48157,75,84,74,92,56,45,41305,41042,40891,42203,45595,48308,0,0,0,0,0,0,
