Run Date,4/30/2015 11:48:34
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,padCounts[0],padCounts[1],padCounts[2],padCounts[3],padCounts[4],padCounts[5],pad_max[0],pad_max[1],pad_max[2],pad_max[3],pad_max[4],pad_max[5],pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,859,0,0,0,7,60,28,42043,41921,41001,42681,43860,47730,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,24,44,50,63,47,63,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
2,1859,0,0,0,8,60,28,41672,41888,40987,42694,43868,47743,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,395,77,64,50,39,50,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
3,2844,376,1,1,0,61,28,41370,41869,40983,42688,43857,47734,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,697,96,68,56,50,59,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
4,3859,376,1,1,0,62,28,41358,41863,40980,42687,43865,47741,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,709,102,71,57,42,52,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
5,4859,376,2,3,0,63,28,41440,41137,40881,42667,43857,47736,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,627,828,170,77,50,57,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
6,5859,376,2,3,0,64,28,41526,41034,40642,42655,43851,47735,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,541,931,409,89,56,58,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
7,6859,335,2,6,0,65,28,41958,41144,40124,42537,43849,47746,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,109,821,927,207,58,47,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
8,7859,335,3,e,0,66,28,42006,41541,40045,41905,43794,47719,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,61,424,1006,839,113,74,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
9,8859,173,3,38,0,66,28,42034,41870,40887,41674,42600,47004,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,33,95,164,1070,1307,789,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
10,9859,0,1,20,0,66,28,42026,41906,40994,42681,43842,46995,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,41,59,57,63,65,798,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
11,10859,0,1,20,0,66,28,42030,41916,41006,42688,43836,47042,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,37,49,45,56,71,751,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
12,11859,0,1,20,0,66,28,42033,41919,40999,42694,43849,47048,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,34,46,52,50,58,745,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
13,12859,0,1,20,0,66,28,42038,41919,40996,42688,43843,47075,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,29,46,55,56,64,718,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
14,13844,0,1,20,0,66,28,42033,41922,41003,42693,43837,47068,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,34,43,48,51,70,725,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
15,14859,0,1,20,0,66,28,42028,41917,40996,42683,43836,47059,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,39,48,55,61,71,734,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
16,15859,0,1,20,0,66,28,42034,41912,41000,42689,43838,47065,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,33,53,51,55,69,728,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
17,16859,0,0,0,1,66,28,42034,41922,40999,42689,43857,47733,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,33,43,52,55,50,60,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
18,17859,0,0,0,2,66,28,42044,41936,41002,42697,43870,47751,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,23,29,49,47,37,42,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
