Run Date,4/30/2015 12:08:45
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,718,0,0,0,216,80,39,42001,41889,40973,42665,43846,47717,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,83,76,78,79,61,76,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43854,47729,
2,1718,0,0,0,217,80,39,42001,41882,40976,42656,43836,47710,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,83,83,75,88,71,83,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43854,47729,
3,2734,0,0,0,218,80,39,42000,41888,40979,42669,43855,47725,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,84,77,72,75,52,68,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
4,3734,0,0,0,219,80,39,42004,41893,40981,42660,43848,47713,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,80,72,70,84,59,80,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
5,4718,0,0,0,220,80,39,42008,41889,40969,42664,43846,47717,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,76,76,82,80,61,76,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
6,5734,0,1,20,0,80,39,41976,41877,40963,42645,43740,46459,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,108,88,88,99,167,1334,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
7,6734,0,1,20,0,80,39,41968,41879,40959,42649,43675,46355,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,116,86,92,95,232,1438,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
8,7718,335,5,3e,0,80,39,41876,41399,39928,41466,42778,46303,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,208,566,1123,1278,1129,1490,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
9,8718,335,5,3e,0,80,39,41854,41313,39930,41474,42831,46328,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,230,652,1121,1270,1076,1465,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
10,9734,0,0,0,1,80,39,41981,41878,40966,42658,43844,47719,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,103,87,85,86,63,74,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
11,10734,376,2,3,0,81,39,41514,41324,40812,42627,43839,47721,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,570,641,239,117,68,72,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
12,11718,376,2,3,0,82,39,41104,40861,40697,42628,43828,47709,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,980,1104,354,116,79,84,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
13,12734,376,4,f,0,83,39,41564,40825,39895,41712,43732,47698,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,520,1140,1156,1032,175,95,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
14,13734,376,6,3f,0,83,39,41471,40792,39883,41603,42952,46244,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,613,1173,1168,1141,955,1549,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
15,14734,376,6,3f,0,83,39,41434,40775,39872,41560,42701,46232,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,650,1190,1179,1184,1206,1561,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
16,15718,0,0,0,1,83,39,41969,41868,40962,42640,43837,47711,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,115,97,89,104,70,82,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
17,16734,79,2,30,0,83,39,41983,41877,40946,42584,43054,46243,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,101,88,105,160,853,1550,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
18,17734,79,2,30,0,83,39,41946,41836,40904,42482,42713,46231,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,138,129,147,262,1194,1562,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
19,18734,376,6,3f,0,83,39,41473,41140,40074,41810,42615,46224,42159,42072,41150,42832,44015,47897,41013,40744,39867,41429,42522,46224,611,825,977,934,1292,1569,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
