Run Date,5/1/2015 12:30:30
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,11109,0,0,0,301,0,0,41260,41012,40859,42155,45551,48302,41286,41031,40859,42162,45591,48310,41115,40917,40732,42048,45426,48168,26,14,-4,4,40,7,41286,41026,40859,42159,45591,48309,0,0,0,0,0,0,
2,12109,0,0,0,301,0,0,41260,41012,40859,42155,45551,48302,41286,41031,40859,42162,45591,48310,41115,40917,40732,42048,45426,48168,26,14,-4,4,40,7,41286,41026,40859,42159,45591,48309,0,0,0,0,0,0,
3,13109,0,0,0,301,0,0,41260,41012,40859,42155,45551,48302,41286,41031,40859,42162,45591,48310,41115,40917,40732,42048,45426,48168,26,14,-4,4,40,7,41286,41026,40859,42159,45591,48309,0,0,0,0,0,0,
4,14109,0,0,0,301,0,0,41260,41012,40859,42155,45551,48302,41286,41031,40859,42162,45591,48310,41115,40917,40732,42048,45426,48168,26,14,-4,4,40,7,41286,41026,40859,42159,45591,48309,0,0,0,0,0,0,
5,15109,0,0,0,301,0,0,41260,41012,40859,42155,45551,48302,41286,41031,40859,42162,45591,48310,41115,40917,40732,42048,45426,48168,26,14,-4,4,40,7,41286,41026,40859,42159,45591,48309,0,0,0,0,0,0,
6,16109,0,0,0,301,0,0,41260,41012,40859,42155,45551,48302,41286,41031,40859,42162,45591,48310,41115,40917,40732,42048,45426,48168,26,14,-4,4,40,7,41286,41026,40859,42159,45591,48309,0,0,0,0,0,0,
7,17109,0,0,0,301,0,0,41260,41012,40859,42155,45551,48302,41286,41031,40859,42162,45591,48310,41115,40917,40732,42048,45426,48168,26,14,-4,4,40,7,41286,41026,40859,42159,45591,48309,0,0,0,0,0,0,
8,18109,0,0,0,301,0,0,41260,41012,40859,42155,45551,48302,41286,41031,40859,42162,45591,48310,41115,40917,40732,42048,45426,48168,26,14,-4,4,40,7,41286,41026,40859,42159,45591,48309,0,0,0,0,0,0,
9,19109,0,0,0,301,0,0,41260,41012,40859,42155,45551,48302,41286,41031,40859,42162,45591,48310,41115,40917,40732,42048,45426,48168,26,14,-4,4,40,7,41286,41026,40859,42159,45591,48309,0,0,0,0,0,0,
10,20109,0,0,0,301,0,0,41260,41012,40859,42155,45551,48302,41286,41031,40859,42162,45591,48310,41115,40917,40732,42048,45426,48168,26,14,-4,4,40,7,41286,41026,40859,42159,45591,48309,0,0,0,0,0,0,
