Run Date,4/30/2015 12:11:31
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,469,0,0,0,6,97,54,41953,41832,40923,42616,43793,47658,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,131,133,128,128,114,135,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
2,1469,0,0,0,7,97,54,41951,41835,40917,42617,43798,47683,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,133,130,134,127,109,110,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
3,2484,0,0,0,8,97,54,41961,41844,40926,42614,43798,47681,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,123,121,125,130,109,112,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
4,3469,376,6,3f,0,97,54,41168,40871,39949,41682,42567,46212,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,916,1094,1102,1062,1340,1581,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
5,4469,376,6,3f,0,97,54,41166,40862,39960,41683,42555,46195,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,918,1103,1091,1061,1352,1598,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
6,5484,0,0,0,1,97,54,41937,41821,40930,42607,43790,47668,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,147,144,121,137,117,125,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
7,6484,0,0,0,2,97,54,41952,41831,40925,42607,43792,47675,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,132,134,126,137,115,118,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
8,7469,376,2,3,0,98,54,41072,40825,40760,42579,43788,47665,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,1012,1140,291,165,119,128,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
9,8469,376,2,3,0,99,54,41064,40802,40664,42571,43788,47676,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,1020,1163,387,173,119,117,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
10,9484,376,4,f,0,100,54,41081,40770,39842,41431,43560,47666,42159,42072,41150,42832,44015,47897,40974,40744,39842,41422,42508,46183,1003,1195,1209,1313,347,127,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
