Run Date,4/30/2015 12:17:45
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,578,0,0,0,33,124,63,41985,41866,40965,42648,43821,47693,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42498,46183,99,99,86,96,86,100,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
2,1578,0,0,0,34,124,63,41985,41865,40962,42651,43824,47705,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42498,46183,99,100,89,93,83,88,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
3,2578,0,0,0,35,124,63,41977,41868,40958,42632,43811,47695,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42498,46183,107,97,93,112,96,98,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
4,3578,0,0,0,36,124,63,41982,41865,40962,42633,43810,47693,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42498,46183,102,100,89,111,97,100,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
5,4578,0,0,0,37,124,63,41978,41865,40960,42648,43822,47706,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42498,46183,106,100,91,96,85,87,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
6,5578,0,0,0,38,124,63,41982,41858,40954,42647,43823,47703,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42498,46183,102,107,97,97,84,90,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
7,6578,0,0,0,39,124,63,41982,41863,40960,42651,43823,47703,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42498,46183,102,102,91,93,84,90,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
8,7594,0,0,0,40,124,63,41984,41863,40954,42658,43815,47695,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42498,46183,100,102,97,86,92,98,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
9,8578,0,0,0,41,124,63,41985,41862,40958,42648,43815,47693,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42498,46183,99,103,93,96,92,100,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
10,9578,0,0,0,42,124,63,41896,41821,40923,42613,43782,47641,42159,42072,41150,42832,44015,47897,40974,40744,39839,41391,42498,46183,188,144,128,131,125,152,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
