Run Date,5/1/2015 08:31:32
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,500,0,0,0,123,0,0,42157,42052,41130,42812,43999,47882,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,19,24,25,25,8,11,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
2,1500,0,0,0,124,0,0,42163,42056,41125,42808,43985,47876,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,13,20,30,29,22,17,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
3,2500,0,0,0,125,0,0,42165,42056,41128,42818,43988,47869,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,11,20,27,19,19,24,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
4,3500,0,0,0,126,0,0,42154,42059,41131,42816,43987,47873,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,22,17,24,21,20,20,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
5,4500,0,0,0,127,0,0,42162,42055,41112,42803,43971,47851,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,14,21,43,34,36,42,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
6,5500,0,0,0,128,0,0,42156,42050,41118,42804,43984,47856,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,20,26,37,33,23,37,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
7,6516,0,0,0,129,0,0,42161,42054,41123,42804,43980,47861,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,15,22,32,33,27,32,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
8,7500,0,0,0,130,0,0,42158,42059,41120,42807,43981,47859,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,18,17,35,30,26,34,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
9,8500,0,0,0,131,0,0,42161,42053,41117,42819,43983,47861,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,15,23,38,18,24,32,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
10,9516,0,0,0,132,0,0,42160,42050,41121,42819,43980,47873,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,16,26,34,18,27,20,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
11,10500,0,0,0,133,0,0,42159,42054,41135,42826,43986,47853,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,17,22,20,11,21,40,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
12,11500,0,0,0,134,0,0,42164,42057,41128,42804,43980,47857,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,12,19,27,33,27,36,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
13,12516,0,0,0,135,0,0,42161,42053,41130,42815,43990,47875,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,15,23,25,22,17,18,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
14,13500,0,0,0,136,0,0,42157,42053,41127,42809,43986,47866,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,19,23,28,28,21,27,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
15,14500,0,0,0,137,0,0,42157,42053,41124,42821,43988,47871,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,19,23,31,16,19,22,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
16,15516,0,0,0,138,0,0,42159,42056,41115,42815,43991,47870,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,17,20,40,22,16,23,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
17,16500,0,0,0,139,0,0,42166,42049,41119,42810,43971,47859,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,10,27,36,27,36,34,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
18,17500,0,0,0,140,0,0,42159,42056,41123,42807,43971,47858,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,17,20,32,30,36,35,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
19,18516,0,0,0,141,0,0,42162,42061,41125,42816,43979,47859,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,14,15,30,21,28,34,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
20,19500,0,0,0,142,0,0,42160,42061,41126,42807,43980,47860,42176,42076,41155,42837,44007,47893,42064,41941,41051,42704,43882,47762,16,15,29,30,27,33,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
