Run Date,5/1/2015 12:36:05
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,19219,0,0,0,1,0,14,41278,41011,40875,42163,44505,46899,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,31,47,34,45,352,53,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
2,20219,0,0,0,2,0,14,41289,41029,40888,42173,44535,46916,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,20,29,21,35,322,36,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
3,21235,0,0,0,3,0,14,41287,41030,40893,42187,44569,46921,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,22,28,16,21,288,31,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
4,22219,0,0,0,4,0,14,41292,41026,40885,42184,44590,46925,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,17,32,24,24,267,27,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
5,23235,0,0,0,5,0,14,41291,41031,40886,42191,44614,46932,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,18,27,23,17,243,20,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
6,24219,0,0,0,6,0,14,41293,41027,40887,42180,44628,46909,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,16,31,22,28,229,43,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
7,25235,0,0,0,7,0,14,41292,41023,40890,42191,44665,46930,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,17,35,19,17,192,22,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
8,26219,0,0,0,8,0,14,41298,41027,40881,42186,44658,46925,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,11,31,28,22,199,27,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
9,27235,0,0,0,9,0,14,41294,41032,40886,42190,44678,46934,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,15,26,23,18,179,18,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
10,28219,0,0,0,10,0,14,41292,41028,40884,42178,44685,46927,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,17,30,25,30,172,25,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
11,29235,0,0,0,11,0,14,41298,41028,40883,42180,44695,46917,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,11,30,26,28,162,35,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
12,30219,0,0,0,12,0,14,41294,41030,40879,42172,44702,46925,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,15,28,30,36,155,27,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
13,31235,0,0,0,13,0,14,41297,41035,40889,42196,44715,46925,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,12,23,20,12,142,27,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
14,32219,0,0,0,14,0,14,41296,41035,40885,42182,44714,46908,41309,41058,40909,42208,44857,46952,40331,39975,39794,40982,44210,46815,13,23,24,26,143,44,41309,41058,40909,42208,44857,46952,0,0,0,0,0,0,
