Run Date,4/30/2015 11:48:10
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,padCounts[0],padCounts[1],padCounts[2],padCounts[3],padCounts[4],padCounts[5],pad_max[0],pad_max[1],pad_max[2],pad_max[3],pad_max[4],pad_max[5],pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,656,0,0,0,6,60,28,42048,41920,41007,42694,43851,47745,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,19,45,44,50,56,48,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
2,1641,0,0,0,7,60,28,42046,41923,41013,42690,43856,47743,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,21,42,38,54,51,50,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
3,2641,0,0,0,8,60,28,42047,41928,41003,42690,43862,47740,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,20,37,48,54,45,53,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
4,3656,0,0,0,9,60,28,42030,41923,41003,42691,43855,47685,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,37,42,48,53,52,108,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
5,4656,0,0,0,10,60,28,42032,41922,40994,42684,43848,47689,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,35,43,57,60,59,104,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
6,5641,0,0,0,11,60,28,42021,41911,41000,42690,43850,47688,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,46,54,51,54,57,105,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
7,6641,0,0,0,12,60,28,42033,41911,40992,42673,43768,47278,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,34,54,59,71,139,515,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
8,7656,0,0,0,13,60,28,42031,41912,40996,42682,43851,47754,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,36,53,55,62,56,39,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
9,8656,173,3,38,0,60,28,41984,41843,40876,41628,42580,46270,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,83,122,175,1116,1327,1523,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
10,9641,173,3,38,0,60,28,41980,41848,40939,41935,42597,46265,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,87,117,112,809,1310,1528,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
11,10656,173,3,38,0,60,28,41979,41841,40930,41936,42587,46255,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,88,124,121,808,1320,1538,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
12,11656,173,3,38,0,60,28,41976,41839,40923,41891,42596,46259,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,91,126,128,853,1311,1534,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
13,12656,173,3,38,0,60,28,41984,41841,40924,41895,42602,46267,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,83,124,127,849,1305,1526,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
14,13641,173,3,38,0,60,28,41979,41846,40927,41885,42590,46260,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,88,119,124,859,1317,1533,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
15,14656,173,3,38,0,60,28,41972,41840,40913,41801,42592,46256,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,95,125,138,943,1315,1537,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
16,15656,218,4,3c,0,60,28,41944,41619,39927,41488,42557,46348,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,123,346,1124,1256,1350,1445,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
17,16641,218,4,3c,0,60,28,41948,41649,39950,41485,42565,46353,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,119,316,1101,1259,1342,1440,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
18,17656,173,3,38,0,60,28,41974,41859,40915,41836,42590,46245,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,93,106,136,908,1317,1548,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
19,18656,0,0,0,1,60,28,42030,41910,41006,42687,43869,47751,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,37,55,45,57,38,42,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
20,19656,0,0,0,2,60,28,42031,41918,41005,42682,43867,47748,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,36,47,46,62,40,45,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
