Run Date,4/30/2015 12:11:19
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,969,0,0,0,6,95,54,41941,41829,40919,42597,43793,47667,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,143,136,132,147,114,126,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
2,1969,0,0,0,7,95,54,41945,41838,40932,42618,43808,47685,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,139,127,119,126,99,108,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
3,2984,0,0,0,8,95,54,41946,41834,40929,42608,43804,47675,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,138,131,122,136,103,118,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
4,3969,0,0,0,9,95,54,41783,41731,40888,42598,43803,47691,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,301,234,163,146,104,102,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
5,4969,335,1,2,0,96,54,41728,41394,40563,42498,43774,47674,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,356,571,488,246,133,119,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
6,5969,376,4,f,0,97,54,41255,40836,39887,41725,43715,47672,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,829,1129,1164,1019,192,121,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
7,6984,376,6,3f,0,97,54,41413,41095,40187,41887,42762,46375,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,671,870,864,857,1145,1418,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
8,7969,0,0,0,1,97,54,41721,41736,40894,42598,43787,47658,42159,42072,41150,42832,44015,47897,40974,40744,39867,41422,42508,46183,363,229,157,146,120,135,42084,41965,41051,42744,43907,47793,42012,41895,40990,42670,43855,47729,
