Run Date,4/30/2015 11:36:41
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,padCounts[0],padCounts[1],padCounts[2],padCounts[3],padCounts[4],padCounts[5],pad_max[0],pad_max[1],pad_max[2],pad_max[3],pad_max[4],pad_max[5],pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,1015,0,0,0,118,52,19,42014,41915,40988,42695,43860,47752,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,53,50,63,49,47,41,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
2,2015,0,0,0,119,52,19,42018,41906,40989,42690,43868,47753,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,49,59,62,54,39,40,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
3,3015,0,0,0,120,52,19,42017,41914,40984,42698,43858,47741,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,50,51,67,46,49,52,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
4,4000,0,0,0,121,52,19,42020,41913,40984,42696,43869,47747,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,47,52,67,48,38,46,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
5,5015,0,0,0,122,52,19,42024,41917,40984,42691,43864,47736,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,43,48,67,53,43,57,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
6,6015,0,0,0,123,52,19,42026,41910,40984,42688,43864,47735,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,41,55,67,56,43,58,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
7,7000,0,0,0,124,52,19,42023,41910,40988,42692,43860,47744,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,44,55,63,52,47,49,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
8,8015,0,0,0,125,52,19,42019,41915,40989,42702,43864,47746,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,48,50,62,42,43,47,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
