Run Date,4/30/2015 11:37:37
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,padCounts[0],padCounts[1],padCounts[2],padCounts[3],padCounts[4],padCounts[5],pad_max[0],pad_max[1],pad_max[2],pad_max[3],pad_max[4],pad_max[5],pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,641,0,0,0,173,52,19,42029,41917,40986,42702,43882,47754,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,38,48,65,42,25,39,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
2,1625,0,0,0,174,52,19,42029,41915,40988,42697,43871,47750,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,38,50,63,47,36,43,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
3,2625,0,0,0,175,52,19,42026,41919,41000,42701,43874,47747,42159,42072,41150,42832,44015,47897,41088,40808,39892,41460,42533,46248,41,46,51,43,33,46,42067,41965,41051,42744,43907,47793,0,0,0,0,0,0,
