Run Date,4/30/2015 11:49:38
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,padCounts[0],padCounts[1],padCounts[2],padCounts[3],padCounts[4],padCounts[5],pad_max[0],pad_max[1],pad_max[2],pad_max[3],pad_max[4],pad_max[5],pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,891,0,0,0,29,66,28,42049,41935,41026,42704,43878,47757,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,35,30,25,40,29,36,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
2,1891,0,0,0,30,66,28,42045,41922,41009,42699,43864,47749,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,39,43,42,45,43,44,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
3,2875,0,0,0,31,66,28,42029,41925,40999,42693,43870,47745,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,55,40,52,51,37,48,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
4,3891,0,0,0,32,66,28,42041,41917,40997,42684,43860,47746,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,43,48,54,60,47,47,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
5,4891,0,0,0,33,66,28,42053,41919,41002,42695,43865,47745,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,31,46,49,49,42,48,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
6,5891,0,0,0,34,66,28,42058,41923,41001,42695,43877,47759,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,26,42,50,49,30,34,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
7,6875,0,0,0,35,66,28,42061,41926,40995,42687,43868,47743,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,23,39,56,57,39,50,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
8,7891,0,0,0,36,66,28,42063,41926,41004,42687,43863,47744,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,21,39,47,57,44,49,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
9,8891,0,0,0,37,66,28,42052,41925,40996,42689,43862,47743,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,32,40,55,55,45,50,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
10,9875,0,0,0,38,66,28,42057,41929,40995,42689,43866,47750,42159,42072,41150,42832,44015,47897,41085,40808,39892,41460,42533,46231,27,36,56,55,41,43,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
