Run Date,4/30/2015 12:03:36
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,547,0,0,0,15,76,38,42000,41863,40956,42659,43819,47703,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,84,102,95,85,88,90,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
2,1547,0,0,0,16,76,38,42001,41870,40963,42660,43822,47718,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,83,95,88,84,85,75,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
3,2547,0,0,0,17,76,38,42008,41872,40961,42648,43808,47697,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,76,93,90,96,99,96,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
4,3547,0,0,0,18,76,38,41996,41872,40971,42658,43816,47715,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,88,93,80,86,91,78,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
5,4547,0,0,0,19,76,38,42000,41873,40963,42662,43819,47711,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,84,92,88,82,88,82,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
6,5531,0,0,0,20,76,38,42004,41871,40981,42676,43830,47729,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,80,94,70,68,77,64,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
7,6547,0,0,0,21,76,38,42005,41865,40955,42648,43813,47708,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,79,100,96,96,94,85,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
8,7547,0,0,0,22,76,38,42002,41868,40977,42659,43824,47711,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,82,97,74,85,83,82,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
9,8547,0,0,0,23,76,38,42007,41866,40967,42643,43814,47705,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,77,99,84,101,93,88,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
10,9547,0,0,0,24,76,38,41999,41870,40962,42654,43821,47711,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,85,95,89,90,86,82,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
11,10547,0,0,0,25,76,38,42002,41870,40963,42653,43827,47713,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,82,95,88,91,80,80,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
12,11547,0,0,0,26,76,38,42002,41871,40961,42656,43826,47720,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,82,94,90,88,81,73,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
13,12547,0,0,0,27,76,38,41997,41869,40971,42670,43835,47647,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,87,96,80,74,72,146,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
14,13547,0,1,20,0,76,38,41973,41865,40952,42654,43794,46877,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,111,100,99,90,113,916,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
15,14547,0,1,20,0,76,38,41973,41873,40950,42639,43788,46915,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,111,92,101,105,119,878,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
16,15547,0,0,0,1,76,38,41998,41878,40958,42652,43825,47714,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,86,87,93,92,82,79,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
17,16547,0,0,0,2,76,38,42002,41864,40953,42652,43823,47714,42159,42072,41150,42832,44015,47897,41044,40765,39881,41429,42522,46224,82,101,98,92,84,79,42084,41965,41051,42744,43907,47793,0,0,0,0,0,0,
