Run Date,5/1/2015 08:32:36
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,pad5wrong,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
1,390,0,0,0,187,0,0,42152,42039,41122,42810,43971,47864,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,24,37,33,27,36,29,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
2,1406,0,0,0,188,0,0,42152,42050,41115,42802,43966,47848,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,24,26,40,35,41,45,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
3,2406,0,0,0,189,0,0,42148,42046,41122,42808,43975,47859,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,28,30,33,29,32,34,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
4,3406,0,0,0,190,0,0,42152,42046,41103,42805,43962,47855,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,24,30,52,32,45,38,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
5,4406,0,0,0,191,0,0,42151,42047,41111,42803,43963,47844,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,25,29,44,34,44,49,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
6,5406,0,0,0,192,0,0,42154,42043,41112,42802,43968,47848,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,22,33,43,35,39,45,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
7,6406,0,0,0,193,0,0,42149,42050,41131,42816,43981,47866,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,27,26,24,21,26,27,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
8,7406,0,0,0,194,0,0,42142,42046,41121,42808,43968,47860,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,34,30,34,29,39,33,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
9,8406,0,0,0,195,0,0,42148,42041,41123,42798,43966,47853,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,28,35,32,39,41,40,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
10,9406,0,0,0,196,0,0,42153,42041,41118,42803,43963,47849,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,23,35,37,34,44,44,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
11,10422,0,0,0,197,0,0,42154,42046,41116,42801,43962,47851,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,22,30,39,36,45,42,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
12,11406,0,0,0,198,0,0,42148,42045,41130,42820,43977,47847,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,28,31,25,17,30,46,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
13,12406,0,0,0,199,0,0,42149,42050,41129,42824,43980,47856,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,27,26,26,13,27,37,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
14,13406,0,0,0,200,0,0,42150,42052,41116,42809,43960,47846,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,26,24,39,28,47,47,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
15,14406,0,0,0,201,0,0,42145,42046,41112,42796,43960,47847,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,31,30,43,41,47,46,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
16,15406,0,0,0,202,0,0,42147,42043,41120,42810,43972,47856,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,29,33,35,27,35,37,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
17,16406,0,0,0,203,0,0,42144,42035,41131,42813,43973,47855,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,32,41,24,24,34,38,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
18,17406,0,0,0,204,0,0,42152,42040,41124,42802,43967,47849,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,24,36,31,35,40,44,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
19,18406,0,0,0,205,0,0,42143,42039,41131,42814,43979,47866,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,33,37,24,23,28,27,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
20,19406,0,0,0,206,0,0,42143,42042,41116,42812,43971,47862,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,33,34,39,25,36,31,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
21,20422,0,0,0,207,0,0,42145,42040,41115,42805,43969,47851,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,31,36,40,32,38,42,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
22,21406,0,0,0,208,0,0,42151,42038,41112,42802,43954,47838,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,25,38,43,35,53,55,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
23,22406,0,0,0,209,0,0,42144,42030,41105,42798,43976,47847,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,32,46,50,39,31,46,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
24,23422,0,0,0,210,0,0,42152,42045,41107,42796,43965,47843,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,24,31,48,41,42,50,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
25,24406,0,0,0,211,0,0,42151,42050,41108,42806,43972,47854,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,25,26,47,31,35,39,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
26,25406,0,0,0,212,0,0,42144,42040,41115,42808,43975,47851,42176,42076,41155,42837,44007,47893,42041,41939,41044,42704,43856,47738,32,36,40,29,32,42,42176,42076,41155,42837,44007,47893,0,0,0,0,0,0,
