Run Date,5/1/2015 12:30:30
EntryNumber,elapsedTime,DailyL, HourML, minuteML,SHour, SMin, SSec,SDay, SWeek, daysAct,RedFlag, RedDays, RedMap, RedFull,AlignT/F, AlignSec, AlignSec, AlignHour,RedMap0, RedMap1, RedMap2, RedMap3, RedMap4, RedMap5, RedMap6
1,11,000000,000000,000000,000015,000050,000039,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
2,11,000000,000000,000000,000015,000050,000040,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
3,13,000000,000000,000000,000015,000050,000041,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
4,13,000000,000000,000000,000015,000050,000042,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
5,15,000000,000000,000000,000015,000050,000043,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
6,15,000000,000000,000000,000015,000050,000044,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
7,17,000000,000000,000000,000015,000050,000045,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
8,17,000000,000000,000000,000015,000050,000046,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
9,19,000000,000000,000000,000015,000050,000047,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
10,20,000000,000000,000000,000015,000050,000048,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
11,21,000000,000000,000000,000015,000050,000049,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
12,22,000000,000000,000000,000015,000050,000050,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
13,22,000000,000000,000000,000015,000050,000051,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
14,24,000000,000000,000000,000015,000050,000052,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
15,24,000000,000000,000000,000015,000050,000053,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
16,26,000000,000000,000000,000015,000050,000054,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
17,26,000000,000000,000000,000015,000050,000055,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
18,28,000000,000000,000000,000015,000050,000056,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
19,28,000000,000000,000000,000015,000050,000057,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
20,30,000000,000000,000000,000015,000050,000058,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
21,30,000000,000000,000000,000015,000050,000059,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
22,32,000000,000000,000000,000015,000051,000000,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
23,32,000000,000000,000000,000015,000051,000001,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
24,34,000000,000000,000000,000015,000051,000002,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
25,34,000000,000000,000000,000015,000051,000003,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
26,36,000000,000000,000000,000015,000051,000004,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
27,37,000000,000000,000000,000015,000051,000005,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
28,38,000000,000000,000000,000015,000051,000006,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
29,39,000000,000000,000000,000015,000051,000007,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
30,40,000000,000000,000000,000015,000051,000008,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
31,41,000000,000000,000000,000015,000051,000009,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
32,42,000000,000000,000000,000015,000051,000010,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
33,43,000000,000000,000000,000015,000051,000011,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
34,44,000000,000000,000000,000015,000051,000012,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
35,45,000000,000000,000000,000015,000051,000013,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
36,46,000000,000000,000000,000015,000051,000014,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
37,47,000000,000000,000000,000015,000051,000015,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
38,47,000000,000000,000000,000015,000051,000016,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
39,49,000000,000000,000000,000015,000051,000017,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
40,49,000000,000000,000000,000015,000051,000018,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
41,51,000000,000000,000000,000015,000051,000019,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
42,51,000000,000000,000000,000015,000051,000020,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
43,53,000000,000000,000000,000015,000051,000021,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
44,54,000000,000000,000000,000015,000051,000022,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
45,55,000000,000000,000000,000015,000051,000023,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
46,56,000000,000000,000000,000015,000051,000024,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
47,57,000000,000000,000000,000015,000051,000025,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
48,58,000000,000000,000000,000015,000051,000026,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
49,59,000000,000000,000000,000015,000051,000027,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
50,60,000000,000000,000000,000015,000051,000028,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
51,61,000000,000000,000000,000015,000051,000029,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
52,62,000000,000000,000000,000015,000051,000030,000003,000000,000000,000000,000000,000003,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
