Run Date,4/30/2015 11:48:10
EntryNumber,elapsedTime,DailyL, HourML, minuteML,SSec, SMin, SHour,SDay, SWeek, daysAct,RedFlag, RedDays, RedMap, RedFull,AlignT/F, AlignSec, AlignSec, AlignHour,RedMap0, RedMap1, RedMap2, RedMap3, RedMap4, RedMap5, RedMap6
1,0,000031,045390,000173,000002,000030,000007,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
2,1,000031,045390,000173,000002,000030,000008,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
3,2,000031,045390,000173,000002,000030,000009,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
4,3,000031,045390,000173,000002,000030,000010,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
5,4,000031,045390,000173,000002,000030,000011,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
6,5,000031,045390,000173,000002,000030,000012,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
7,6,000031,045390,000173,000002,000030,000013,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
8,7,000031,045390,000173,000002,000030,000014,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
9,8,000031,045390,000346,000002,000030,000015,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
10,9,000031,045390,000519,000002,000030,000016,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
11,10,000031,045390,000692,000002,000030,000017,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
12,11,000031,045390,000865,000002,000030,000018,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
13,12,000031,045390,001038,000002,000030,000019,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
14,13,000031,045390,001211,000002,000030,000020,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
15,14,000031,045390,001384,000002,000030,000021,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
16,15,000031,045390,001602,000002,000030,000022,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
17,16,000031,045390,001820,000002,000030,000023,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
18,17,000031,045390,001993,000002,000030,000024,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
19,18,000031,045390,001993,000002,000030,000025,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
20,19,000031,045390,001993,000002,000030,000026,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000,000000
